| #  | Working Title (≤ 60 chars)                                     | Search Intent & SEO Angle                                                            | Quick Hook                                                              |
| -- | -------------------------------------------------------------- | ------------------------------------------------------------------------------------ | ----------------------------------------------------------------------- |
| 1  | **2026 Color Trends for Every Season**                         | “2026 color trends + seasonal palettes” <br>Informational, trend-seeking             | Map Pantone’s forecast to all 12 seasons with shoppable links.          |
| 2  | **How to Photograph Yourself for AI Color Analysis**           | “best lighting for color analysis photo” <br>Transactional (prep for quiz / service) | Step-by-step daylight setup + phone settings; drives quiz sign-ups.     |
| 3  | **Capsule Wardrobe: True Spring Edition**                      | “true spring capsule wardrobe” <br>Mid-funnel                                        | 10 interchangeable pieces + downloadable checklist (PDF lead magnet).   |
| 4  | **Cool vs Warm Undertones—A Spectrophotometry Deep Dive**      | “science behind undertones” <br>Authoritativeness / E-E-A-T                          | Cite peer-reviewed reflectance studies; boosts topical authority.       |
| 5  | **Makeup Swatch Library for Soft Seasons**                     | “soft summer makeup swatches” <br>Affiliate potential                                | Side-by-side product photos, HEX codes, and buy buttons.                |
| 6  | **Beginner’s Guide to Draping at Home (With Printable Cards)** | “DIY draping test” <br>High organic volume                                           | Offer printable PDF color cards; upsell pro analysis.                   |
| 7  | **Best Neutrals for Deep Winter Offices**                      | “deep winter work outfits” <br>Long-tail                                             | Mix-&-match lookbook; internal link to Deep Winter vs Deep Autumn post. |
| 8  | **Sustainability: Thrifting by Season to Cut Fashion Waste**   | “thrifting tips by color season” <br>Shareable, backlink bait                        | Data on textile waste + palette-specific thrift finds.                  |
| 9  | **Holiday Party Colors That Flatter Warm Spring**              | “warm spring holiday outfits” <br>Seasonal spike                                     | Include Pinterest-optimized infographics; drives holiday traffic.       |
| 10 | **Common Myths About the 12-Season System (Debunked)**         | “is seasonal color analysis real” <br>Top-of-funnel skepticism                       | Address doubts with citations; reinforces brand credibility.            |
