| #                                 | Where it happens                   | What’s happening                                                                                                                                                                                                 | Typical time           |
| --------------------------------- | ---------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------- |
| **1 — Client-side validation**    | Browser (React)                    | • Checks that exactly 3 image files are selected, each < 10 MB, JPEG/PNG.<br>• Generates a temporary **job ID** (UUID).                                                                                          | < 1 s                  |
| **2 — Immediate upload**          | Browser → `/api/job/:jobID/photos` | Sends `multipart/form-data` with the three files and the job ID.                                                                                                                                                 | 2-5 s (user bandwidth) |
| **3 — Edge storage + receipt**    | App server                         | • Streams each file straight to object storage (`/uploads/:jobID/raw/`).<br>• Writes a DB/KV row: `{ jobID, status:"files_uploaded", photoURLs:[…] }`.                                                           | < 1 s                  |
| **4 — Queue the heavy work**      | Server → Worker queue              | Pushes `{ jobID, photoURLs }` onto Redis/Rabbit/etc.; sets status = `processing`.                                                                                                                                | < 0.1 s                |
| **5 — User sees loading screen**  | Browser                            | JS starts polling `/api/job/:jobID/status` every 2-3 s (or opens a WebSocket).                                                                                                                                   | Continuous             |
| **6 — Worker: image pre-check**   | Worker process                     | • Loads the three photos.<br>• Samples 3× 20 px patches per image (cheek, jaw, forehead).<br>• Computes average CIELab L, a, b for skin-tone metrics.<br>• Rejects job if resolution too low or filter detected. | \~1 s                  |
| **7 — Compose OpenAI request**    | Worker                             | • Builds **system prompt** (16-season guide + output contract).<br>• Builds **user message** (text + three `image_url` parts that point to the stored files).                                                    | < 0.2 s                |
| **8 — Call GPT-4o (vision)**      | OpenAI API                         | Model analyses the photos, runs the decision tree, returns markdown with JSON blocks (palette, wow colors, etc.).                                                                                                | 8-15 s                 |
| **9 — Parse & enrich**            | Worker                             | • Extracts JSON fences with `json.loads()`.<br>• Runs colour-distance filter (ΔE < 13) on each palette swatch to pull real products via a retail API (ShopStyle / Amazon PA-API). Returns 3-5 “shoppable looks.” | 3-6 s                  |
| **10 — Generate print-ready PDF** | Worker                             | • Feeds palette + cheat-sheet data into ReportLab.<br>• Saves `/uploads/:jobID/report.pdf` in **CMYK** space.                                                                                                    | 1-2 s                  |
| **11 — Finalize job**             | Worker                             | • Saves a single JSON blob `{ markdown, palette[], wowColors[], neutrals[], metals[], outfits[], pdfPath }` to storage.<br>• Updates DB row: `status:"done"`.                                                    | < 0.1 s                |
| **12 — Browser auto-refresh**     | Browser                            | Poll/WebSocket returns `status:"done"` → loading spinner hides.<br>Browser GETs `/api/job/:jobID/result` and receives the JSON blob.                                                                             | Instant                |
| **13 — Render results**           | Browser (React)                    | • Builds a **Swiper** deck: Season Badge ▸ Full Palette ▸ Wow Colors ▸ Outfit Carousel.<br>• Hooks “Download PDF” → `/pdf/:jobID`.<br>• Hooks “Share” → copies `/share/:jobID` to clipboard.                     | < 0.5 s                |
| **14 — User experience complete** | Browser                            | User can swipe, tap shop links, download PDF, or share link.                                                                                                                                                     | ---                    |
| **15 — Housekeeping cron**        | Server                             | Nightly task deletes raw images & PDFs older than 24 h; DB marks jobs `expired`.                                                                                                                                 | Background             |
