| Priority | Fix                                                                                                                                                                    | Why it Matters                                                           | How to Implement                                                                               |                                                                                                   |
| -------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------ | ---------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------- |
| **P0**   | **Remove duplicated H-section labels** – the page contains two separate H2s named “Why Choose AI Color Analysis.” ([hazelandhue.com][1])                               | Splits semantic weight, confuses crawlers about topical hierarchy.       | Keep the first instance; retitle the second as “Features That Set Us Apart” (see design note). |                                                                                                   |
| **P0**   | **Consolidate “How It Works” headings** (“How AI Color Analysis Works” + later “How It Works”). ([hazelandhue.com][1])                                                 | Duplicate intent dilutes keyword focus and risks “soft” cannibalisation. | Merge into one H2. Under it, nest H3 steps: Upload → AI Analysis → Get Results.                |                                                                                                   |
| **P0**   | **Rewrite the `title` tag** to <br>\`AI Color Analysis in 30 s                                                                                                         | 12-Season Personal Palette                                               | Hazel & Hue\`                                                                                  | Keeps primary keyword (“AI color analysis”) to the left, adds unique value prop, stays ≤60 chars. |
| **P0**   | **Craft a 155-char meta description**:<br>“Upload 3 photos; get a pro 12-season color palette, makeup & wardrobe guide in seconds. Trusted by 10k+ clients worldwide.” | Boosts CTR with clear benefit + social proof.                            |                                                                                                |                                                                                                   |
| **P1**   | **Add Product schema (JSON-LD)** for the AI Analysis offering: `@type: "Product"`, `offers.price`, `reviewRating`, etc.                                                | Enables rich-snippet stars & pricing in SERPs.                           |                                                                                                |                                                                                                   |
| **P1**   | **Optimise hero image** (lazy-load, WebP, max-width ≤1920 px).                                                                                                         | Improves Core Web Vitals; LCP is almost always the hero shot.            |                                                                                                |                                                                                                   |
| **P1**   | **Use descriptive `alt` text** for every icon/illustration (“woman uploading selfie for AI color analysis” vs “image1”).                                               | Accessibility + extra keyword surface.                                   |                                                                                                |                                                                                                   |
| **P2**   | **Internal-link from hero CTA block** to one flagship blog post (e.g., “What Are the 12 Seasons?”).                                                                    | Raises topical authority and spreads PageRank downward.                  |                                                                                                |                                                                                                   |
| **P2**   | **Add FAQs schema** for 3-4 questions already on the FAQ page; embed a condensed FAQ accordion at bottom of home.                                                      | Wins FAQ rich results without cluttering the hero.                       |                                                                                                |                                                                                                   |
| **P2**   | **Canonicalise trailing-slash vs non-slash root** if not already.                                                                                                      | Avoids self-duplicate root variations.                                   |                                                                                                |                                                                                                   |

[1]: https://hazelandhue.com/ "AI Color Analysis | Hazel & Hue - Discover Your Perfect Colors in 30 Seconds"
